op_id,vhc_id,mod_at,src_at,cur,inc,dec
5,13,2026-08-05 17:03:20.150614,2026-08-05 17:00:00.150614,7,4,11
5,13,2026-08-05 17:03:50.150614,2026-08-05 17:00:30.150614,3,18,13
5,13,2026-08-05 17:04:20.150614,2026-08-05 17:01:00.150614,7,2,13
5,13,2026-08-05 17:04:50.150614,2026-08-05 17:01:30.150614,1,1,16
5,13,2026-08-05 17:05:20.150614,2026-08-05 17:02:00.150614,6,8,19
5,13,2026-08-05 17:05:50.150614,2026-08-05 17:02:30.150614,6,3,18
5,13,2026-08-05 17:06:20.150614,2026-08-05 17:03:00.150614,4,4,4
5,13,2026-08-05 17:06:50.150614,2026-08-05 17:03:30.150614,8,16,14
5,13,2026-08-05 17:07:20.150614,2026-08-05 17:04:00.150614,4,11,18
5,13,2026-08-05 17:07:50.150614,2026-08-05 17:04:30.150614,5,10,4
5,13,2026-08-05 17:08:20.150614,2026-08-05 17:05:00.150614,15,12,18
5,13,2026-08-05 17:08:50.150614,2026-08-05 17:05:30.150614,0,1,20
5,13,2026-08-05 17:09:20.150614,2026-08-05 17:06:00.150614,12,6,11
5,13,2026-08-05 17:09:50.150614,2026-08-05 17:06:30.150614,9,12,0
5,13,2026-08-05 17:10:20.150614,2026-08-05 17:07:00.150614,12,17,5
5,13,2026-08-05 17:10:50.150614,2026-08-05 17:07:30.150614,4,18,9
5,13,2026-08-05 17:11:20.150614,2026-08-05 17:08:00.150614,19,19,12
5,13,2026-08-05 17:11:50.150614,2026-08-05 17:08:30.150614,17,15,2
5,13,2026-08-05 17:12:20.150614,2026-08-05 17:09:00.150614,5,5,7
5,13,2026-08-05 17:12:50.150614,2026-08-05 17:09:30.150614,20,17,1
5,13,2026-08-05 17:13:20.150614,2026-08-05 17:10:00.150614,7,7,6
5,13,2026-08-05 17:13:50.150614,2026-08-05 17:10:30.150614,13,20,11
5,13,2026-08-05 17:14:20.150614,2026-08-05 17:11:00.150614,15,16,13
5,13,2026-08-05 17:14:50.150614,2026-08-05 17:11:30.150614,17,0,4
5,13,2026-08-05 17:15:20.150614,2026-08-05 17:12:00.150614,8,18,18
5,13,2026-08-05 17:15:50.150614,2026-08-05 17:12:30.150614,11,0,6
5,13,2026-08-05 17:16:20.150614,2026-08-05 17:13:00.150614,15,5,8
5,13,2026-08-05 17:16:50.150614,2026-08-05 17:13:30.150614,7,3,16
5,13,2026-08-05 17:17:20.150614,2026-08-05 17:14:00.150614,0,13,3
5,13,2026-08-05 17:17:50.150614,2026-08-05 17:14:30.150614,16,7,18
5,13,2026-08-05 17:18:20.150614,2026-08-05 17:15:00.150614,8,0,15
5,13,2026-08-05 17:18:50.150614,2026-08-05 17:15:30.150614,19,13,5
5,13,2026-08-05 17:19:20.150614,2026-08-05 17:16:00.150614,16,17,16
5,13,2026-08-05 17:19:50.150614,2026-08-05 17:16:30.150614,5,15,7
5,13,2026-08-05 17:20:20.150614,2026-08-05 17:17:00.150614,18,19,16
5,13,2026-08-05 17:20:50.150614,2026-08-05 17:17:30.150614,19,16,16
5,13,2026-08-05 17:21:20.150614,2026-08-05 17:18:00.150614,19,10,20
5,13,2026-08-05 17:21:50.150614,2026-08-05 17:18:30.150614,2,2,17
5,13,2026-08-05 17:22:20.150614,2026-08-05 17:19:00.150614,9,18,1
5,13,2026-08-05 17:22:50.150614,2026-08-05 17:19:30.150614,18,20,8
5,13,2026-08-05 17:23:20.150614,2026-08-05 17:20:00.150614,12,0,6
5,13,2026-08-05 17:23:50.150614,2026-08-05 17:20:30.150614,6,6,20
5,13,2026-08-05 17:24:20.150614,2026-08-05 17:21:00.150614,17,3,9
5,13,2026-08-05 17:24:50.150614,2026-08-05 17:21:30.150614,4,16,11
5,13,2026-08-05 17:25:20.150614,2026-08-05 17:22:00.150614,1,7,0
5,13,2026-08-05 17:25:50.150614,2026-08-05 17:22:30.150614,14,5,16
5,13,2026-08-05 17:26:20.150614,2026-08-05 17:23:00.150614,5,1,6
5,13,2026-08-05 17:26:50.150614,2026-08-05 17:23:30.150614,11,1,1
5,13,2026-08-05 17:27:20.150614,2026-08-05 17:24:00.150614,10,16,15
5,13,2026-08-05 17:27:50.150614,2026-08-05 17:24:30.150614,10,10,19
5,13,2026-08-05 17:28:20.150614,2026-08-05 17:25:00.150614,18,11,3
5,13,2026-08-05 17:28:50.150614,2026-08-05 17:25:30.150614,14,10,9
5,13,2026-08-05 17:29:20.150614,2026-08-05 17:26:00.150614,7,3,6
5,13,2026-08-05 17:29:50.150614,2026-08-05 17:26:30.150614,1,17,20
5,13,2026-08-05 17:30:20.150614,2026-08-05 17:27:00.150614,0,11,7
5,13,2026-08-05 17:30:50.150614,2026-08-05 17:27:30.150614,14,2,15
5,13,2026-08-05 17:31:20.150614,2026-08-05 17:28:00.150614,4,10,3
5,13,2026-08-05 17:31:50.150614,2026-08-05 17:28:30.150614,8,4,19
5,13,2026-08-05 17:32:20.150614,2026-08-05 17:29:00.150614,13,11,13
5,13,2026-08-05 17:32:50.150614,2026-08-05 17:29:30.150614,19,3,12
5,13,2026-08-05 17:33:20.150614,2026-08-05 17:30:00.150614,7,2,9
5,13,2026-08-05 17:33:50.150614,2026-08-05 17:30:30.150614,7,9,14
5,13,2026-08-05 17:34:20.150614,2026-08-05 17:31:00.150614,18,20,11
